user_id,Total_Transactions,Avg_Transaction_Value,Total_Spent,Active_Days,Preferred_Payment_Method,Churn,Churn_Prediction,Churn_Probability,Risk_Category,Customer_Value_Tier,Priority_Score
cust_0000,192,16736.38402,3213385.732,140,Debit Card,0,0,0.0,Low Risk,Silver,0.06602487531816553
cust_0001,979,14536.73468,14231463.25,229,UPI,0,0,0.01,Low Risk,Platinum,0.2984113894323798
cust_0002,329,7061.3728,2323191.651,73,Debit Card,1,1,0.995,Critical Risk,Silver,0.6447342130357969
cust_0003,71,16426.87645,1166308.228,299,Wallet Balance,0,0,0.0,Low Risk,Bronze,0.02396393142889905
cust_0004,878,10800.09266,9482481.355,236,UPI,0,0,0.0,Low Risk,Platinum,0.19483488799243365
cust_0005,741,6093.162427,4515033.358,195,UPI,0,0,0.0,Low Risk,Gold,0.0927696017165574
cust_0006,946,8751.162615,8278599.833,88,Wallet Balance,1,1,0.995,Critical Risk,Platinum,0.7670989446550549
cust_0007,63,1324.697719,83455.9563,97,Credit Card,0,0,0.005,Low Risk,Bronze,0.0047147549559312515
cust_0008,297,18898.72465,5612921.22,166,Credit Card,0,0,0.0,Low Risk,Gold,0.11532771183698827
cust_0009,245,12386.13718,3034603.61,296,UPI,0,0,0.005,Low Risk,Silver,0.06535147028726056
cust_0010,519,14627.37056,7591605.319,203,UPI,0,0,0.0,Low Risk,Gold,0.155983388380744
cust_0011,393,13534.90157,5319216.319,187,Debit Card,0,0,0.01,Low Risk,Gold,0.1152930085407893
cust_0012,772,13358.32219,10312624.73,275,UPI,0,0,0.0,Low Risk,Platinum,0.21189169890833404
cust_0013,601,355.0471001,213383.3072,20,Debit Card,1,1,1.0,Critical Risk,Bronze,0.6043843495390419
cust_0014,177,10512.17188,1860654.423,73,Debit Card,1,1,0.99,Critical Risk,Silver,0.6322305414085184
cust_0015,204,16435.98747,3352941.444,338,Credit Card,0,0,0.0,Low Risk,Silver,0.06889230215490666
cust_0016,646,899.9318397,581355.9685,361,UPI,0,0,0.0,Low Risk,Bronze,0.01194501953296277
